OPTIMISED TIMETABLE SCHEDULE — GWO v6
======================================================================

SCHEDULE DETAILS:
----------------------------------------------------------------------
33405      | blended   | lecture | slot_181           | Sunday  Monday  Tuesday      | modaraj al-sadaqa | Dr. Ahmad Alnsour
33408      | inperson  | lecture | slot_180           | Sunday  Monday  Tuesday      | 922      | Dr. Aseel Abu Ajamieh
33409      | blended   | lecture | slot_162           | Sunday  Monday  Tuesday      | 702      | Dr. Amro Al-Madadha
33432      | inperson  | lecture | slot_150           | Sunday  Monday  Tuesday  Wednesday  Thursday | 922      | Dr. Moh'D Al-Shboul
33435      | inperson  | lecture | slot_151           | Sunday  Monday  Tuesday  Wednesday  Thursday | 703      | Dr. Ahmad Alnsour
33439      | inperson  | lecture | slot_149           | Sunday  Monday  Tuesday  Wednesday  Thursday | 205      | Dr. Mohammad Alsumadi
33445      | inperson  | lecture | slot_177           | Sunday  Monday  Tuesday      | 303      | Dr. Jumana Zahedah
34101      | inperson  | lecture | slot_211           | Monday  Wednesday            | 821      | Dr. Almothanna Abu-Allan
34102      | inperson  | lecture | slot_151           | Sunday  Monday  Tuesday  Wednesday  Thursday | 821      | Dr. Rami Alzebdieh
34115      | blended   | lecture | slot_166           | Sunday  Monday  Tuesday      | 207      | Dr. Suleiman Mohammad
34216      | blended   | lecture | slot_161           | Sunday  Monday  Tuesday      | 202      | Dr. Suleiman Mohammad
34227      | inperson  | lecture | slot_153           | Sunday  Monday  Tuesday  Wednesday  Thursday | 206      | Prof. Modar Abdullatif
34307      | inperson  | lecture | slot_150           | Sunday  Monday  Tuesday  Wednesday  Thursday | 704      | Prof. Modar Abdullatif
34321      | blended   | lecture | slot_172           | Sunday  Monday  Tuesday      | 822      | Dr. Hala Zaidan
34414      | blended   | lecture | slot_166           | Sunday  Monday  Tuesday      | 203      | Prof. Modar Abdullatif
34415      | inperson  | lecture | slot_150           | Sunday  Monday  Tuesday  Wednesday  Thursday | 821      | Dr. Rami Alzebdieh
34439      | online    | lecture | slot_178           | Monday  Wednesday            | ONLINE   | Dr. Suleiman Mohammad
35101      | blended   | lecture | slot_179           | Sunday  Monday  Tuesday      | 921      | Dr. Mohammd Abuhashesh
35103      | blended   | lecture | slot_173           | Sunday  Monday  Tuesday      | 921      | Tariq Abdrabbo
35105      | blended   | lecture | slot_180           | Sunday  Monday  Tuesday      | ee124    | Dr. Mohammd Abuhashesh
35202      | inperson  | lecture | slot_199           | Monday  Wednesday            | atelier ُee309 | Tariq Abdrabbo
35215      | blended   | lecture | slot_170           | Monday  Wednesday            | 301      | Prof. Shafig Al-Haddad
35219      | blended   | lecture | slot_180           | Sunday  Monday  Tuesday      | 921      | Prof. Shafig Al-Haddad
35233      | blended   | lecture | slot_165           | Sunday  Monday  Tuesday      | 204      | Esraa Rababa
35233      | blended   | lecture | slot_212           | Sunday  Monday  Tuesday      | 831      | Esraa Rababa
35235      | inperson  | lecture | slot_180           | Sunday  Monday  Tuesday      | 702      | Tariq Abdrabbo
35308      | inperson  | lecture | slot_150           | Sunday  Monday  Tuesday  Wednesday  Thursday | 921      | Prof. Shafig Al-Haddad
35314      | blended   | lecture | slot_199           | Monday  Wednesday            | 341      | Dr. Mohammd Abuhashesh
35424      | inperson  | lecture | slot_164           | Sunday  Tuesday              | 704      | Prof. Shafig Al-Haddad
36101      | inperson  | lecture | slot_158           | Sunday  Monday  Tuesday  Wednesday  Thursday | 832      | Layla Malas
36101      | inperson  | lecture | slot_153           | Sunday  Monday  Tuesday  Wednesday  Thursday | 832      | Dr. Luay Anaya
36111      | inperson  | lecture | slot_152           | Sunday  Monday  Tuesday  Wednesday  Thursday | 205      | Layla Malas
36111      | inperson  | lecture | slot_151           | Sunday  Monday  Tuesday  Wednesday  Thursday | 202      | Ahmad Shawaqfeh
36111      | inperson  | lecture | slot_156           | Sunday  Tuesday              | 343      | Ahmad Shawaqfeh
36112      | inperson  | lecture | slot_150           | Sunday  Monday  Tuesday  Wednesday  Thursday | 302      | Dr. Mohammad Al-Omari
36202      | inperson  | lecture | slot_154           | Sunday  Tuesday              | 307      | Dr. Ahmad Abushakra
36232      | blended   | lecture | slot_181           | Sunday  Monday  Tuesday      | 831      | Dr. Fadi Qutaishat
36232      | blended   | lecture | slot_179           | Sunday  Monday  Tuesday      | 831      | Dr. Fadi Qutaishat
36232      | blended   | lecture | slot_165           | Sunday  Monday  Tuesday      | 704      | Dr. Luay Anaya
36232      | blended   | lecture | slot_156           | Sunday  Tuesday              | 832      | Dr. Luay Anaya
36251      | inperson  | lab     | slot_159           | Monday  Wednesday            | it105    | Ahmad Shawaqfeh
36331      | blended   | lecture | slot_158           | Sunday  Monday  Tuesday  Wednesday  Thursday | 831      | Dr. Ahmad Abushakra
36336      | blended   | lecture | slot_178           | Monday  Wednesday            | ee124    | Dr. Ahmad Abushakra
36357      | inperson  | lab     | slot_156           | Sunday  Tuesday              | 811      | Dr. Ahmad Abushakra
36402      | blended   | lecture | slot_179           | Sunday  Monday  Tuesday      | 832      | Dr. Mohammad Al-Omari
36428      | blended   | lecture | slot_165           | Sunday  Monday  Tuesday      | 832      | Dr. Noor Damer
12471      | inperson  | lecture | slot_152           | Sunday  Monday  Tuesday  Wednesday  Thursday | 821      | Rosana Marar
14351      | inperson  | lecture | slot_176           | Wednesday  Thursday          | 206      | Prof. Moh'D Azzeh
15321      | inperson  | lecture | slot_151           | Sunday  Monday  Tuesday  Wednesday  Thursday | 701      | Qasem Abu Al-Haija'
15322      | inperson  | lab     | slot_180           | Sunday  Monday  Tuesday      | it104    | Yousef Yaseen
15333      | inperson  | lecture | slot_159           | Monday  Wednesday            | 201      | Qasem Abu Al-Haija'
15361      | inperson  | lecture | slot_156           | Sunday  Tuesday              | atelier ُee309 | Dr. Ahmad Altamimi
24467      | inperson  | lecture | slot_181           | Sunday  Monday  Tuesday      | ee124    | Dr. Hani Ahmad
24470      | inperson  | lecture | slot_153           | Sunday  Monday  Tuesday  Wednesday  Thursday | 342      | Dr. Omar Mohamed
24563      | blended   | lecture | slot_161           | Sunday  Monday  Tuesday      | 703      | Dr. Omar Mohamed
33322      | inperson  | lecture | slot_161           | Sunday  Monday  Tuesday      | 922      | Dr. Khleef Alkhawaldeh
33336      | inperson  | lecture | slot_150           | Sunday  Monday  Tuesday  Wednesday  Thursday | 205      | Dr. Amer Al Shishany
35421      | inperson  | lecture | slot_158           | Sunday  Monday  Tuesday  Wednesday  Thursday | 703      | Farah Alshraiedeh
12461      | inperson  | lecture | slot_150           | Sunday  Monday  Tuesday  Wednesday  Thursday | 201      | Narmeen Alhyari
31121      | online    | lecture | slot_178           | Monday  Wednesday            | ONLINE   | Ashraf Thaher
31252      | blended   | lecture | slot_161           | Sunday  Monday  Tuesday      | 343      | Dr. Ramzy Radeideh

Final Fitness: 0.0000
Hard Conflicts: 0
